ID,标题,街道,商圈,户型介绍,关注\发布,标签,总价,单价
102104137148,房子南北通透地点好，交通便利，视野好配套全必看好房,民建巷    ,  菜艺商圈 ,3室2厅 | 131.11平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7天以前发布,VR房源随时看房,74.8万,5706元/平米
102104158268,商服照角店大门脸年租金门前有早晚市房主诚心出售必看好房,正阳花园    ,  建国公园 ,1室1厅 | 93.93平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 3天以前发布,VR房源随时看房,370万,39392元/平米
102104132396,世纪花园B区 总价低 业主诚意出售必看好房,世纪花园B区    ,  松北世贸大道 ,2室1厅 | 92.69平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,6人关注 / 8天以前发布,VR房源随时看房,79.8万,8610元/平米
102104095147,公滨城市花园 7带8 南北通透 下楼地铁口 出行方便必看好房,公滨城市花园    ,  农大商圈 ,4室2厅 | 174.37平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 15天以前发布,VR房源,64.8万,3717元/平米
102104131888,道里 家乐福 三楼 南北向 可贷款 45米使用面积 52万必看好房,通达街(道里区)    ,  公路大桥 ,2室1厅 | 62.53平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,4人关注 / 8天以前发布,VR房源,47.8万,7645元/平米
102104129305,和平小区  两室一厅    南北通透必看好房,和平小区    ,  先锋路商圈 ,2室1厅 | 63.68平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 9天以前发布,VR房源,46万,7224元/平米
102104149685,南北通透，视野开阔，价格合理.必看好房,群力家园k区    ,  群力新区 ,2室1厅 | 111.83平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 5天以前发布,VR房源随时看房,130万,11625元/平米
102104146072,美兰家园 精装密码锁 视野采光嘎嘎好必看好房,美兰家园    ,  哈尔滨新区 ,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 5天以前发布,VR房源随时看房,81.8万,7575元/平米
102103637017,安定街 2室1厅 南 北必看好房,安定街    ,  安字片 ,2室1厅 | 107.07平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,10人关注 / 4个月以前发布,VR看装修随时看房,78万,7285元/平米
102104033545,三松宜家，loft，环境好，价格可谈，便宜必看好房,三松宜家    ,  群力新区 ,1室1厅 | 64.6平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,3人关注 / 27天以前发布,VR房源随时看房,73.6万,11394元/平米
102104150962,星河国际 视野宽阔 四室两厅两卫 楼层好 公园 地铁必看好房,星河国际  湘江路    ,  万达商圈 ,4室2厅 | 221.75平米 | 东 南 西 | 精装 | 中楼层(共32层)  | 塔楼,16人关注 / 4天以前发布,VR看装修,219万,9876元/平米
