Construction,Direction,District,Floor,Garden,Height,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
板楼,南西北,群力新区,低楼层,盛和天下,1,1.02103E+11,6室3厅,1700,道里,其他,512.6,否,否,33166
塔楼,东南北,中央大街,高楼层,哈公馆,32,1.02102E+11,4室2厅,1380,道里,精装,377,否,否,36605
板楼,南北,群力新区,中楼层,外滩首府,6,1.02103E+11,6室3厅,1200,道里,其他,453,否,否,26491
塔楼,南北,中央大街,中楼层,哈公馆,32,1.02104E+11,4室2厅,1000,道里,其他,332.3,否,否,30095
板楼,南北,群力新区,中楼层,富力江湾新城,29,1.02103E+11,5室1厅,978,道里,其他,300,否,否,32600
板楼,南北,群力新区,高楼层,汇锦庄园,34,1.02104E+11,5室2厅,950,道里,其他,308,否,否,30845
板塔结合,南北,兆麟校,中楼层,宝宇天邑澜湾,39,1.02103E+11,4室2厅,920,道外,毛坯,490,否,否,18776
板塔结合,南北,兆麟校,中楼层,宝宇天邑澜湾,39,1.02104E+11,4室2厅,920,道外,毛坯,490,否,否,18776
板楼,南北西东,群力新区,高楼层,盛和世纪,26,1.02103E+11,5室2厅,900,道里,其他,342,否,否,26316
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02102E+11,4室2厅,878,香坊,精装,398,否,否,22061
暂无数据,西南北,群力新区,低楼层,盛和天下,3,1.02102E+11,5室3厅,850,道里,毛坯,366,否,否,23225
板楼,南北,群力新区,中楼层,富力江湾新城,43,1.02104E+11,5室2厅,820,道里,其他,249,否,否,32932
板楼,东南北,群力新区,中楼层,富力江湾新城,27,1.02103E+11,4室2厅,818,道里,精装,293,否,否,27919
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02103E+11,5室2厅,799,香坊,其他,387.7,否,否,20610
板楼,南北,爱建,低楼层,上实海上银座,20,1.02101E+11,5室3厅,799,道里,精装,419.4,否,否,19050
板塔结合,南北,群力新区,中楼层,富力江湾新城,44,1.02104E+11,4室2厅,790,道里,其他,283,否,否,27916
板塔结合,南北,动力区,低楼层,华润中央公园,6,1.02104E+11,3室2厅,778,香坊,其他,174.3,否,否,44636
暂无数据,北西南,群力新区,低楼层,盛和天下,3,1.02102E+11,5室3厅,760,道里,毛坯,366,否,否,20766
板塔结合,南北,中央大街,高楼层,观江国际,39,1.02102E+11,3室2厅,750,道里,精装,247,否,否,30365
板楼,南北,群力新区,中楼层,观复国际,4,1.02103E+11,4室2厅,750,道里,其他,322.6,否,否,23247
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02103E+11,4室2厅,750,香坊,精装,339.6,否,否,22084
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02104E+11,4室2厅,750,香坊,其他,340,否,否,22059
板楼,南北,南岗会展商圈,低楼层,悦山国际一期,32,1.02103E+11,1室1厅,750,道外,其他,396,否,否,18940
板楼,南北,群力新区,低楼层,汇锦庄园,34,1.02104E+11,4室2厅,720,道里,精装,308,否,否,23377
板楼,东南西北,群力新区,低楼层,盛和世纪,26,1.02101E+11,5室2厅,720,道里,精装,340,否,否,21177
板楼,南北,群力新区,低楼层,招商贝肯山二期,6,1.02103E+11,4室2厅,700,道里,其他,195,否,否,35898
板楼,南北,省医院商圈,低楼层,四季上东第二期,44,1.02104E+11,4室2厅,700,香坊,其他,247,否,否,28341
板楼,南北,群力新区,高楼层,汇锦庄园,34,1.02104E+11,5室3厅,695,道里,精装,337.3,否,否,20604
板楼,南北,群力新区,低楼层,盛和天下,26,1.02104E+11,5室2厅,690,道里,精装,374,否,否,18450
板楼,南北,群力新区,低楼层,溪岸艺墅,6,1.02104E+11,3室2厅,680,道里,其他,218.4,否,否,31135
塔楼,南北,中央大街,中楼层,观江国际,39,1.02102E+11,3室2厅,680,道里,精装,225,否,否,30223
板楼,南北,群力新区,低楼层,盛和天下,27,1.02103E+11,4室2厅,680,道里,毛坯,244.3,否,否,27833
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02104E+11,4室2厅,680,香坊,其他,339.6,否,否,20023
塔楼,南北东,中央大街,低楼层,观江国际,42,1.02104E+11,3室2厅,650,道里,精装,242.7,否,否,26786
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,43,1.02101E+11,4室2厅,650,道外,精装,266,否,否,24437
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,43,1.02103E+11,2室1厅,637,道外,精装,266,否,否,23948
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,43,1.02104E+11,4室2厅,635,道外,精装,267,否,否,23783
板塔结合,南北,群力新区,中楼层,外滩首府,5,1.02103E+11,4室2厅,630,道里,其他,215,否,否,29303
板楼,南北,工农大街,低楼层,上和园著,32,1.02104E+11,4室2厅,630,道里,其他,300,否,否,21000
板楼,西,万达商圈,低楼层,玉山公寓,2,1.02104E+11,17室2厅,630,南岗,精装,502.1,否,否,12547
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02102E+11,4室2厅,625,香坊,其他,337,否,否,18546
板楼,南北,群力新区,高楼层,盛和天下,27,1.02104E+11,4室2厅,620,道里,其他,245,否,否,25307
板楼,南北西,动力区,低楼层,美罗湾二期,3,1.02103E+11,6室3厅,620,香坊,其他,328,否,否,18903
板楼,南北,群力新区,低楼层,宏润翠湖天地,6,1.02104E+11,3室2厅,600,道里,其他,177,否,否,33899
板楼,南北,群力新区,低楼层,外滩首府,3,1.02103E+11,4室2厅,600,道里,其他,196,否,否,30613
板楼,南北,群力新区,中楼层,盛和天下,26,1.02104E+11,3室2厅,600,道里,其他,217.7,否,否,27555
板楼,南北,哈西商圈,低楼层,辰能溪树庭院,7,1.02104E+11,3室2厅,600,南岗,精装,258,是,否,23256
板楼,南北,尚志公园,低楼层,香吉街,7,1.02103E+11,8室3厅,600,香坊,其他,430,否,否,13954
板塔结合,南北,群力新区,低楼层,瑾翠华府,7,1.02104E+11,4室3厅,598,道里,其他,177.5,否,否,33693
板楼,南北,群力新区,低楼层,盛和世纪,30,1.02102E+11,3室2厅,585,道里,精装,197,否,否,29696
板楼,南西北,哈西商圈,中楼层,辰能·溪树庭院南区,26,1.02102E+11,4室2厅,580,南岗,精装,210.9,是,否,27499
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,35,1.02104E+11,4室2厅,580,道外,其他,231,否,否,25109
板楼,东西,省医院商圈,中楼层,四季上东第二期,44,1.02103E+11,5室2厅,580,香坊,精装,243,否,否,23869
板楼,南北,省医院商圈,中楼层,四季上东第二期,37,1.02104E+11,4室2厅,570,香坊,其他,243.8,否,否,23380
板楼,南北,南岗会展商圈,低楼层,金色莱茵,20,1.02103E+11,5室3厅,570,道外,精装,500,否,否,11400
板楼,南北,群力新区,中楼层,盛和天下,26,1.02103E+11,4室2厅,550,道里,简装,224,否,否,24554
板楼,南北,群力新区,高楼层,天鹅湾,28,1.02104E+11,4室2厅,550,道里,其他,268,否,否,20523
板楼,南北,群力新区,高楼层,盛和天下,26,1.02103E+11,4室2厅,549,道里,毛坯,217,否,否,25300
板楼,南北,省医院商圈,低楼层,西骑兵街,1,1.02103E+11,9室1厅,540,香坊,简装,190,否,否,28422
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,35,1.02104E+11,3室2厅,540,道外,毛坯,232,否,否,23276
板楼,南北,哈西商圈,中楼层,辰能·溪树庭院南区,26,1.02104E+11,6室2厅,540,南岗,其他,336,是,否,16072
板楼,西北南,哈西商圈,低楼层,辰能·溪树庭院南区,26,1.02104E+11,6室2厅,540,南岗,其他,336,是,否,16072
板楼,南北东,哈西商圈,低楼层,辰能·溪树庭院南区,26,1.02104E+11,6室2厅,540,南岗,其他,336,是,否,16072
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,43,1.02104E+11,3室2厅,539,道外,精装,202,否,否,26684
板楼,南北,群力新区,高楼层,招商贝肯山二期,6,1.02103E+11,5室1厅,538,道里,其他,217,否,否,24793
塔楼,南东西,中央大街,高楼层,恒祥凯悦,26,1.02103E+11,4室2厅,538,道里,精装,270,否,否,19926
板塔结合,南北,群力新区,高楼层,瑾翠华府,7,1.02104E+11,4室2厅,530,道里,其他,209,否,否,25359
板楼,东南北,爱建,高楼层,爱建新城泽园,18,1.02102E+11,6室2厅,530,道里,精装,385,否,否,13767
