Construction,Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
暂无数据,南,平房商圈,6,建安小区,102103995964,1室0厅,12,平房,其他,30.0,否,否,6
板楼,南北,平房商圈,5,哈飞家园,102103460276,2室1厅,46,平房,其他,68.0,否,否,5
暂无数据,南,平房商圈,18,星耀南城,102103838347,1室1厅,55,平房,其他,62.0,否,否,18
板楼,南北,平房商圈,6,南城首府,102103830271,2室1厅,33,平房,其他,51.0,否,否,6
板楼,南北,平房商圈,13,绿色新城二期,102104168320,10室1厅,177.5,平房,其他,222.0,否,否,13
暂无数据,南北,平房商圈,6,新疆三道街,102104167920,1室1厅,25,平房,其他,36.0,是,否,6
暂无数据,南北,平房商圈,14,南郡豪庭,102103916921,2室1厅,99.8,平房,精装,89.0,否,否,14
暂无数据,南北,平房商圈,2,碧桂园欧洲城,102103541546,3室1厅,106,平房,其他,129.0,否,否,2
暂无数据,西南,平房商圈,14,香悦蓝天下,102103836933,2室1厅,72.8,平房,其他,82.0,否,否,14
暂无数据,西,平房商圈,7,百利小区北区,102104175534,2室1厅,41,平房,其他,60.0,是,否,7
暂无数据,南北,平房商圈,1,碧桂园欧洲城,102102538167,4室1厅,340,平房,其他,229.0,否,否,1
暂无数据,南,平房商圈,14,香悦蓝天下,102103335313,2室2厅,79,平房,其他,88.0,否,否,14
板楼,南北,平房商圈,15,東昇家園,102103933446,2室2厅,96.8,平房,其他,128.0,否,否,15
板楼,南北,平房商圈,18,中天富城,102103574287,2室1厅,83,平房,其他,91.0,否,否,18
板楼,南北,中央大街,5,上游街,102101084973,3室1厅,75,道里,简装,74.0,否,否,5
板楼,西,兆麟校,9,一面街,102103941334,1室1厅,24,道里,简装,34.0,否,否,9
板楼,西,公路大桥,8,哈药路,102103303627,1室1厅,18.5,道里,简装,33.0,否,否,8
板楼,南北,群力新区,21,运华广场道里区,102102938126,3室2厅,130,道里,精装,171.0,否,否,21
板塔结合,南北,安字片,7,安松街,102101975602,2室1厅,32,道里,简装,45.0,否,否,7
板楼,东,顾乡凯德广场,8,天合小区,102103926321,2室1厅,54.8,道里,简装,61.0,否,否,8
板楼,南北,公路大桥,7,建国南二道街,102102164304,3室1厅,91.8,道里,简装,61.0,否,否,7
板楼,南北,公路大桥,8,建国北四道街,102103387723,2室1厅,36.5,道里,简装,42.0,否,否,8
板塔结合,东南北,顾乡凯德广场,31,福順尚景,102103216487,2室1厅,125,道里,精装,103.0,否,否,31
板楼,南北,群力新区,23,中海寰宇天下,102103435135,2室1厅,145,道里,简装,89.0,否,否,23
板楼,南,群力新区,7,河柏小区,102102687209,2室1厅,59.5,道里,简装,85.0,否,否,7
板塔结合,南北,哈西商圈,32,恒祥城一期,102103153928,2室1厅,79,道里,精装,60.0,否,否,32
板楼,南,工农大街,28,民生尚都瑞园,102103286468,1室1厅,64.8,道里,精装,72.0,否,否,28
板塔结合,东西,公路大桥,7,前进路,102103184844,2室1厅,50,道里,毛坯,70.0,否,否,7
板塔结合,东西,中央大街,8,大安街,102103229218,1室1厅,31,道里,简装,32.0,否,否,8
板楼,南北,中央大街,6,霞曼街,102102264522,2室1厅,58,道里,简装,43.0,否,否,6
板楼,东南,兆麟校,16,金安美豪国际公寓,102101828380,1室1厅,88,道里,精装,75.0,否,否,16
板楼,东西,工农大街,7,群力新苑西区,102102238648,2室1厅,91.8,道里,毛坯,97.0,否,否,7
板塔结合,东北,兆麟校,28,经纬360,102103920422,1室1厅,45,道里,简装,39.0,否,否,28
板塔结合,西北,顾乡大街,7,乡社街西区,102103917830,2室1厅,32,道里,简装,43.0,否,否,7
板楼,南,哈西商圈,7,恒兴花园,102103844134,2室1厅,58,道里,简装,70.0,否,否,7
板楼,东北,群力新区,32,民生尚都和园,102103625696,2室1厅,66.6,道里,精装,74.0,否,否,32
板楼,南,顾乡大街,7,顾乡大街,102101963403,1室0厅,21,道里,简装,27.0,否,否,7
