,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Construction,Direction,District,Height,Garden,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
1,暂无数据,南,平房商圈,6,建安小区,102103995964 ,1室0厅,12,平房,其他,30,否,否,4000 
2,板楼,南北,平房商圈,5,哈飞家园,102103460276 ,2室1厅,46,平房,其他,68,否,否,15333 
3,暂无数据,南,平房商圈,18,星耀南城,102103838347 ,1室1厅,55,平房,其他,62,否,否,18333 
4,板楼,南北,平房商圈,6,南城首府,102103830271 ,2室1厅,33,平房,其他,51,否,否,11000 
5,板楼,南北,平房商圈,13,绿色新城二期,102104168320 ,10室1厅,177.5,平房,其他,222,否,否,59167 
6,暂无数据,南北,平房商圈,6,新疆三道街,102104167920 ,1室1厅,25,平房,其他,36,是,否,8333 
7,暂无数据,南北,平房商圈,14,南郡豪庭,102103916921 ,2室1厅,99.8,平房,精装,89,否,否,33267 
8,暂无数据,南北,平房商圈,2,碧桂园欧洲城,102103541546 ,3室1厅,106,平房,其他,129,否,否,35333 
9,暂无数据,西南,平房商圈,14,香悦蓝天下,102103836933 ,2室1厅,72.8,平房,其他,82,否,否,24267 
10,暂无数据,西,平房商圈,7,百利小区北区,102104175534 ,2室1厅,41,平房,其他,60,是,否,13667 
11,暂无数据,南北,平房商圈,1,碧桂园欧洲城,102102538167 ,4室1厅,340,平房,其他,229,否,否,113333 
12,暂无数据,南,平房商圈,14,香悦蓝天下,102103335313 ,2室2厅,79,平房,其他,88,否,否,26333 
13,板楼,南北,平房商圈,15,東昇家園,102103933446 ,2室2厅,96.8,平房,其他,128,否,否,32267 
14,板楼,南北,平房商圈,18,中天富城,102103574287 ,2室1厅,83,平房,其他,91,否,否,27667 
15,板楼,南北,中央大街,5,上游街,102101084973 ,3室1厅,75,道里,简装,74,否,否,25000 
16,板楼,西,兆麟校,9,一面街,102103941334 ,1室1厅,24,道里,简装,34,否,否,8000 
17,板楼,西,公路大桥,8,哈药路,102103303627 ,1室1厅,18.5,道里,简装,33,否,否,6167 
18,板楼,南北,群力新区,21,运华广场道里区,102102938126 ,3室2厅,130,道里,精装,171,否,否,43333 
19,板塔结合,南北,安字片,7,安松街,102101975602 ,2室1厅,32,道里,简装,45,否,否,10667 
20,板楼,东,顾乡凯德广场,8,天合小区,102103926321 ,2室1厅,54.8,道里,简装,61,否,否,18267 
21,板楼,南北,公路大桥,7,建国南二道街,102102164304 ,3室1厅,91.8,道里,简装,61,否,否,30600 
22,板楼,南北,公路大桥,8,建国北四道街,102103387723 ,2室1厅,36.5,道里,简装,42,否,否,12167 
23,板塔结合,东南北,顾乡凯德广场,31,福順尚景,102103216487 ,2室1厅,125,道里,精装,103,否,否,41667 
24,板楼,南北,群力新区,23,中海寰宇天下,102103435135 ,2室1厅,145,道里,简装,89,否,否,48333 
25,板楼,南,群力新区,7,河柏小区,102102687209 ,2室1厅,59.5,道里,简装,85,否,否,19833 
26,板塔结合,南北,哈西商圈,32,恒祥城一期,102103153928 ,2室1厅,79,道里,精装,60,否,否,26333 
27,板楼,南,工农大街,28,民生尚都瑞园,102103286468 ,1室1厅,64.8,道里,精装,72,否,否,21600 
28,板塔结合,东西,公路大桥,7,前进路,102103184844 ,2室1厅,50,道里,毛坯,70,否,否,16667 
29,板塔结合,东西,中央大街,8,大安街,102103229218 ,1室1厅,31,道里,简装,32,否,否,10333 
30,板楼,南北,中央大街,6,霞曼街,102102264522 ,2室1厅,58,道里,简装,43,否,否,19333 
31,板楼,东南,兆麟校,16,金安美豪国际公寓,102101828380 ,1室1厅,88,道里,精装,75,否,否,29333 
32,板楼,东西,工农大街,7,群力新苑西区,102102238648 ,2室1厅,91.8,道里,毛坯,97,否,否,30600 
33,板塔结合,东北,兆麟校,28,经纬360,102103920422 ,1室1厅,45,道里,简装,39,否,否,15000 
34,板塔结合,西北,顾乡大街,7,乡社街西区,102103917830 ,2室1厅,32,道里,简装,43,否,否,10667 
35,板楼,南,哈西商圈,7,恒兴花园,102103844134 ,2室1厅,58,道里,简装,70,否,否,19333 
36,板楼,东北,群力新区,32,民生尚都和园,102103625696 ,2室1厅,66.6,道里,精装,74,否,否,22200 
37,板楼,南,顾乡大街,7,顾乡大街,102101963403 ,1室0厅,21,道里,简装,27,否,否,7000 
38,板楼,南,公路大桥,8,哈药路,102103090799 ,1室1厅,20.8,道里,简装,31,否,否,6933 
