Construction,Direction,District,Floor,Garden,Height,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
暂无数据,南,平房商圈,高楼层,花园小区(平房区),5,102102279289,1室1厅,30,平房,其他,50.0,否,否,6000.0
暂无数据,南北,平房商圈,高楼层,花园小区(平房区),5,102102279695,2室2厅,46,平房,其他,120.0,否,否,3834.0
暂无数据,西,平房商圈,中楼层,百利小区北区,7,102104175534,2室1厅,41,平房,其他,60.0,是,否,6834.0
板楼,南北,平房商圈,低楼层,绿色新城二期,13,102104168320,10室1厅,177.5,平房,其他,222.3,否,否,7983.0
暂无数据,南北,平房商圈,低楼层,新疆三道街,6,102104167920,1室1厅,25,平房,其他,36.7,是,否,6803.0
暂无数据,南北,平房商圈,高楼层,南郡豪庭,14,102103916921,2室1厅,99.8,平房,精装,89.2,否,否,11189.0
暂无数据,西南,平房商圈,高楼层,香悦蓝天下,14,102103836933,2室1厅,72.8,平房,其他,82.0,否,否,8879.0
暂无数据,南北,平房商圈,低楼层,碧桂园欧洲城,2,102103541546,3室1厅,106,平房,其他,129.0,否,否,8218.0
暂无数据,南,平房商圈,中楼层,香悦蓝天下,14,102103335313,2室2厅,79,平房,其他,88.0,否,否,8978.0
暂无数据,南,平房商圈,高楼层,新城里小区,7,102103351663,2室1厅,26,平房,其他,48.0,否,否,5417.0
板楼,南北,平房商圈,低楼层,中天富城,18,102103574287,2室1厅,83,平房,其他,91.8,否,否,9037.0
板楼,南北,平房商圈,低楼层,東昇家園,15,102103933446,2室2厅,96.8,平房,其他,128.7,否,否,7522.0
暂无数据,南北,平房商圈,低楼层,碧桂园欧洲城,1,102102538167,4室1厅,340,平房,其他,229.3,否,否,14828.0
板塔结合,南北,南马校,低楼层,宝宇荣耀上城,31,102102965447,2室1厅,280,道外,简装,146.7,否,否,19075.0
板楼,南北,先锋路商圈,高楼层,红河八街区,7,102102256124,2室1厅,62,道外,精装,91.0,否,否,6814.0
板楼,南北,太平商圈,高楼层,育英小区,8,102103000384,2室2厅,59.8,道外,简装,90.0,是,否,6645.0
板楼,东南北,南十四道街商圈,中楼层,保障街,7,102102563278,2室1厅,74.8,道外,精装,84.0,否,否,8905.0
板楼,东西,太平商圈,高楼层,建伟小区,7,102101681926,3室1厅,57,道外,简装,80.0,是,否,7125.0
板楼,东北,哈东站商圈,中楼层,水利小区(道外区),8,102101133614,2室1厅,60,道外,精装,93.4,是,否,6424.0
板塔结合,南北,船舶军工,高楼层,大方里小区,8,102101531560,3室1厅,74.8,道外,简装,139.0,否,否,5382.0
板楼,南北,南岗会展商圈,低楼层,金色莱茵,20,102101695578,3室2厅,320,道外,精装,20.0,否,否,15510.0
板楼,南北,先锋路商圈,中楼层,长安城,6,102102298837,2室1厅,92,道外,毛坯,10.0,否,否,8847.0
塔楼,东,南岗会展商圈,高楼层,龙珅花园,16,102103901200,2室1厅,160,道外,简装,198.0,否,否,8081.0
板楼,东西,哈东站商圈,中楼层,建兴小区,7,102101422662,2室2厅,80,道外,简装,116.0,是,否,6897.0
板塔结合,西,先锋路商圈,高楼层,宇轩花园一期,7,102102057002,2室1厅,62,道外,简装,75.0,否,否,8267.0
板楼,南北,南马校,低楼层,中财雅典城,3,102102723541,2室2厅,120,道外,简装,10.0,否,否,11539.0
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,32,102103944814,2室1厅,268,道外,精装,126.0,否,否,21270.0
板楼,东西,南岗会展商圈,高楼层,闽江小区,7,102102556544,2室1厅,110,道外,简装,113.8,否,否,9667.0
板楼,南北,兆麟校,高楼层,宝宇天邑澜山,39,102103764449,2室1厅,280,道外,精装,116.2,否,否,24095.0
板楼,东西,南十四道街商圈,中楼层,正大龙生家园,8,102103255867,2室1厅,98,道外,精装,111.5,否,否,8790.0
板楼,南北,南岗会展商圈,高楼层,拉林新村,7,102102001426,3室1厅,130,道外,简装,10.0,否,否,11927.0
